Datetime,LOAD_CAPITL_t-21,LOAD_CAPITL_t-22,LOAD_CAPITL_t-23,LOAD_CAPITL_t-24,LOAD_DUNWOD_t-21,LOAD_DUNWOD_t-22,LOAD_DUNWOD_t-23,LOAD_DUNWOD_t-24,LOAD_GENESE_t-17,LOAD_GENESE_t-18,LOAD_GENESE_t-20,LOAD_GENESE_t-21,LOAD_GENESE_t-22,LOAD_GENESE_t-23,LOAD_GENESE_t-24,LOAD_HUD VL_t-20,LOAD_HUD VL_t-21,LOAD_HUD VL_t-24,LOAD_LONGIL_t-13,LOAD_LONGIL_t-17,LOAD_LONGIL_t-18,LOAD_LONGIL_t-19,LOAD_LONGIL_t-20,LOAD_LONGIL_t-21,LOAD_LONGIL_t-22,LOAD_LONGIL_t-23,LOAD_LONGIL_t-24,LOAD_MILLWD_t-15,LOAD_N.Y.C._t-21,LOAD_N.Y.C._t-22,LOAD_N.Y.C._t-23,LOAD_N.Y.C._t-24,temp_CAPITL_t-3,temp_CAPITL_t-9,temp_CAPITL_t-18,temp_CAPITL_t-20,temp_CENTRL_t-3,temp_CENTRL_t-6,temp_CENTRL_t-11,temp_CENTRL_t-21,temp_CENTRL_t-23,temp_CENTRL_t-24,temp_GENESE_t-6,temp_GENESE_t-8,temp_GENESE_t-11,temp_GENESE_t-20,temp_GENESE_t-21,temp_GENESE_t-22,temp_GENESE_t-24,temp_LONGIL_t-18,temp_N.Y.C._t-24,temp_WEST_t-3,temp_WEST_t-6,temp_WEST_t-8,temp_WEST_t-19,temp_WEST_t-20,temp_WEST_t-21,temp_WEST_t-22,temp_WEST_t-23,temp_WEST_t-24,last_24h_mean_DUNWOD_t-17,last_24h_mean_DUNWOD_t-20,last_24h_mean_HUD VL_t-24,last_24h_mean_LONGIL_t-12,is_weekend_0,is_weekend_1
2/1/18,1688.341667,1600.616667,1486.441667,1393.633333,788.9583332999997,750.1583333,693.2333332999997,615.5583333,1335.9,1382.516667,1395.891667,1343.683333,1264.575,1165.233333,1079.825,1375.2,1344.6,1086.883333,2451.691667,2605.4,2834.666667,2930.175,2875.941667,2799.958333,2647.05,2417.883333,2198.808333,347.8833333,6656.425,6413.916667,6043.316667,5621.666667,-8.0,-8.0,-5.0,-3.0,-10.6,-11.1,-15.0,-3.9,-1.7,-2.2,-11.1,-11.7,-15.0,-5.6,-3.9,-2.2,-2.2,-4.0,-1.1,-11.7,-13.9,-13.6,-2.8,2.0,1.7,1.7,2.2,2.2,705.7542162999997,707.3052579,1199.387401,2446.410268,1,0
2/2/18,1571.45,1485.741667,1375.175,1290.316667,719.9,682.7833333,624.3833333,576.4833332999998,1220.308333,1297.325,1317.908333,1288.575,1232.933333,1150.933333,1085.966667,1304.958333,1266.566667,1034.008333,2390.441667,2536.608333,2721.583333,2779.508333,2720.158333,2626.258333,2480.2,2274.341667,2067.866667,373.1333333,6305.366667,6048.958333,5696.791667,5304.5916670000015,-2.0,-1.0,1.0,3.0,-1.1,-0.6,0.0,7.2,5.0,3.9,-0.6,0.0,0.0,7.2,7.2,6.7,3.9,3.0,6.7,3.3,3.9,2.0,3.9,3.3,2.8,1.1,1.1,-1.1,670.6002976,662.1714782,1157.550645,2379.155605,1,0
2/3/18,1725.2416670000002,1662.333333,1573.116667,1495.658333,794.8833333,770.4833332999997,728.8666667,681.8333332999998,1350.366667,1392.5,1405.325,1364.175,1313.816667,1242.283333,1170.783333,1423.566667,1401.433333,1203.808333,2450.533333,2681.441667,2886.558333,2999.942857,2966.991667,2893.541667,2793.866667,2639.141667000001,2464.6,384.9416667,6777.433333,6604.991667,6319.55,5984.975,2.142857143,-3.0,-7.5,-7.833333333,-1.7,-5.6,-8.9,-10.0,-11.7,-12.2,-5.6,-7.2,-8.9,-10.0,-10.0,-11.1,-12.2,-3.0,-5.0,-4.4,-7.2,-9.0,-11.1,-10.6,-10.0,-10.6,-10.0,-10.6,656.6762401000002,664.2583829,1200.4597720000004,2307.935764,0,1
2/4/18,1589.866667,1544.041667,1475.316667,1409.091667,733.4833332999997,712.4583332999997,680.2,637.9,1221.425,1272.15,1282.875,1242.441667,1195.116667,1132.475,1064.791667,1338.8,1314.841667,1137.158333,2410.9,2475.016667000001,2692.175,2794.583333,2747.333333,2681.958333,2585.833333,2439.508333,2274.291667,383.8,6308.733333,6151.233333,5938.5333329999985,5647.183333,-7.5,-5.7,-3.0,-2.0,-12.2,-12.2,-10.6,-3.3,-2.8,-3.3,-12.2,-11.7,-10.6,-3.9,-3.3,-2.8,-3.3,-3.0,-1.7,-10.6,-9.4,-9.0,-6.1,-6.0,-5.6,-5.0,-4.4,-3.9,688.2298611,680.5605655,1201.0535220000004,2494.9797120000007,0,1
2/5/18,1514.583333,1451.766667,1376.1,1320.025,696.1583333,671.8083333,629.6666667000002,585.3666667,1175.25,1227.675,1171.916667,1133.591667,1097.966667,1048.841667,1018.375,1266.358333,1214.858333,1032.291667,2264.533333,2440.166667,2607.508333,2594.283333,2479.916667,2381.358333,2290.45,2154.416667,1996.15,420.7166667,5914.975,5766.366667,5533.833333,5246.558333,-4.0,-3.076923077,1.0,-1.0,-2.8,-1.7,-0.6,0.0,0.6,0.6,-1.7,-1.1,-0.6,0.0,0.0,0.6,0.6,7.0,3.9,-2.8,0.6,3.0,2.2,1.95,1.7,1.7,1.7,1.7,637.6515277999998,635.4713194,1135.661806,2274.850833,1,0
2/6/18,1693.05,1616.292308,1500.733333,1421.225,750.6571428999997,712.9461537999997,655.8333332999998,609.1083332999998,1293.25,1368.216667,1417.908333,1371.985714,1299.0,1196.408333,1123.558333,1394.375,1353.0,1128.766667,2239.758333,2491.008333,2743.916667,2906.283333,2868.675,2769.828571,2641.469231,2424.291667,2220.741667,372.6916667,6657.271429,6431.684615,6040.7833329999985,5604.266667,-1.4615384619999998,-2.8461538460000004,-5.5,-5.0,0.0,0.0,-8.9,-5.6,-5.6,-7.2,0.0,-3.9,-8.9,-6.1,-5.6,-4.4,-7.2,2.0,-1.1,0.6,-6.1,-8.0,-8.9,-9.4,-8.9,-8.9,-8.9,-8.3,635.3971230000002,639.8794147000001,1136.802808,2183.202282,1,0
2/7/18,1654.05,1574.9,1475.383333,1378.875,739.3666667,704.4166667000003,654.2666667000002,588.1166667,1298.491667,1352.958333,1401.566667,1361.55,1298.766667,1204.5,1134.633333,1345.7,1308.083333,1104.733333,2484.591667,2568.283333,2733.925,2860.2,2825.5166670000012,2752.483333,2614.516667000001,2402.908333,2203.891667000001,406.75,6559.258333,6323.008333,5959.291667,5554.3,-10.0,-7.055555556,-3.5555555560000003,-2.777777778,-7.8,-6.7,-7.2,-3.3,-3.9,-5.0,-6.7,-6.7,-7.2,-3.3,-3.3,-3.9,-5.0,2.0,1.7,-7.8,-7.8,-7.0,-5.6,-6.0,-6.1,-6.1,-6.7,-7.2,668.1171512999998,665.9484012999999,1187.199653,2377.751645,1,0
2/8/18,1663.266667,1566.883333,1470.966667,1389.266667,698.0416667000003,651.35,593.25,542.7666667000002,1315.883333,1381.225,1386.825,1347.091667,1275.033333,1186.325,1126.933333,1348.233333,1299.475,1064.766667,2657.591667,2714.583333,2825.133333,2839.058333,2762.541667,2656.316667,2509.741667,2305.45,2111.25,448.5416667,6506.341667000002,6235.083333,5893.958333,5528.275,-5.0,-6.909090909,-7.25,-7.0,-6.7,-7.8,-5.6,-3.9,-3.3,-3.3,-7.8,-6.7,-5.6,-3.9,-3.9,-3.3,-3.3,3.0,5.6,-8.3,-10.0,-8.0,-5.0,-4.0,-3.3,-4.4,-5.0,-5.6,670.4006944,668.0288194,1209.104514,2414.673264,1,0
2/9/18,1697.725,1625.233333,1520.5,1436.125,770.7833333,731.35,678.875,624.9333333,1320.291667,1363.766667,1417.058333,1382.716667,1310.325,1228.608333,1149.241667,1393.775,1372.483333,1142.883333,2264.358333,2495.191667,2723.925,2865.65,2837.841667,2760.066667,2630.775,2428.891667000001,2226.191667,402.3416667,6644.575,6398.15,6060.183333,5666.183333,-5.25,-6.75,-6.666666667,-6.0,-5.0,-6.7,-8.9,-5.0,-5.0,-6.1,-6.7,-7.2,-8.9,-5.0,-5.0,-5.0,-6.1,-1.0,-0.6,-6.7,-12.2,-11.0,-7.8,-7.0,-7.2,-7.8,-8.3,-8.3,643.2171032000001,649.9702282000002,1193.329921,2382.970486,1,0
2/10/18,1641.641667,1575.116667,1491.925,1411.241667,679.0416667000002,644.3916667000002,600.3583332999998,544.3333332999998,1290.085714,1325.866667,1327.541667,1287.2,1225.183333,1144.991667,1075.1,1341.125,1304.783333,1093.308333,2417.208333,2605.571429,2750.983333,2818.325,2747.625,2653.925,2531.55,2354.125,2176.008333,474.5,6409.841667000002,6163.325,5850.641667,5508.433333,-8.0,-11.0,-4.0,-4.0,-8.9,-8.9,-10.6,-5.6,-4.4,-4.4,-8.9,-9.4,-10.6,-6.1,-5.6,-5.0,-4.4,0.333333333,1.7,-9.4,-8.9,-9.0,-6.7,-5.85,-5.0,-4.4,-3.9,-4.4,665.8083333,656.553125,1215.196329,2376.485764,0,1
